Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,648903191,s,position_lat,464224825,semicircles,position_long,-919027248,semicircles,distance,199.78,m,altitude,44.200000000000045,m,speed,5.407,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903192,s,position_lat,464225322,semicircles,position_long,-919027256,semicircles,distance,204.4,m,altitude,44.39999999999998,m,speed,5.003,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903193,s,position_lat,464225838,semicircles,position_long,-919027213,semicircles,distance,209.21,m,altitude,44.60000000000002,m,speed,4.834,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903194,s,position_lat,464226319,semicircles,position_long,-919027122,semicircles,distance,213.72,m,altitude,44.60000000000002,m,speed,4.388,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903195,s,position_lat,464226784,semicircles,position_long,-919027026,semicircles,distance,218.03,m,altitude,44.799999999999955,m,speed,3.901,m/s,power,226,watts,cadence,49,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903196,s,position_lat,464227245,semicircles,position_long,-919026987,semicircles,distance,222.32,m,altitude,45.0,m,speed,4.295,m/s,power,226,watts,cadence,49,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903197,s,position_lat,464227792,semicircles,position_long,-919026956,semicircles,distance,227.4,m,altitude,45.0,m,speed,5.27,m/s,power,226,watts,cadence,49,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903198,s,position_lat,464228421,semicircles,position_long,-919026942,semicircles,distance,233.24,m,altitude,45.0,m,speed,5.606,m/s,power,278,watts,cadence,57,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903199,s,position_lat,464229103,semicircles,position_long,-919026940,semicircles,distance,239.59,m,altitude,45.200000000000045,m,speed,5.727,m/s,power,261,watts,cadence,64,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903200,s,position_lat,464229825,semicircles,position_long,-919026955,semicircles,distance,246.3,m,altitude,45.200000000000045,m,speed,6.133,m/s,power,199,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903201,s,position_lat,464230490,semicircles,position_long,-919027010,semicircles,distance,252.46,m,altitude,45.39999999999998,m,speed,5.734,m/s,power,161,watts,cadence,72,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903202,s,position_lat,464231176,semicircles,position_long,-919027078,semicircles,distance,258.84,m,altitude,45.39999999999998,m,speed,6.07,m/s,power,118,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903203,s,position_lat,464231774,semicircles,position_long,-919027111,semicircles,distance,264.41,m,altitude,45.39999999999998,m,speed,5.562,m/s,power,113,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903204,s,position_lat,464232470,semicircles,position_long,-919027101,semicircles,distance,270.87,m,altitude,45.39999999999998,m,speed,6.15,m/s,power,102,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903205,s,position_lat,464233151,semicircles,position_long,-919027095,semicircles,distance,277.19,m,altitude,45.60000000000002,m,speed,5.75,m/s,power,119,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903206,s,position_lat,464233863,semicircles,position_long,-919027098,semicircles,distance,283.81,m,altitude,45.60000000000002,m,speed,6.145,m/s,power,130,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903207,s,position_lat,464234583,semicircles,position_long,-919027103,semicircles,distance,290.51,m,altitude,45.60000000000002,m,speed,6.271,m/s,power,132,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903208,s,position_lat,464235315,semicircles,position_long,-919027151,semicircles,distance,297.33,m,altitude,45.60000000000002,m,speed,6.358,m/s,power,133,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903209,s,position_lat,464236045,semicircles,position_long,-919027232,semicircles,distance,304.14,m,altitude,45.60000000000002,m,speed,6.333,m/s,power,134,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903210,s,position_lat,464236777,semicircles,position_long,-919027315,semicircles,distance,310.98,m,altitude,45.60000000000002,m,speed,6.31,m/s,power,101,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903211,s,position_lat,464237517,semicircles,position_long,-919027387,semicircles,distance,317.89,m,altitude,45.799999999999955,m,speed,6.045,m/s,power,104,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903212,s,position_lat,464238221,semicircles,position_long,-919027453,semicircles,distance,324.46,m,altitude,45.799999999999955,m,speed,6.041,m/s,power,104,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903213,s,position_lat,464238901,semicircles,position_long,-919027451,semicircles,distance,330.78,m,altitude,45.799999999999955,m,speed,5.824,m/s,power,88,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903214,s,position_lat,464239567,semicircles,position_long,-919027459,semicircles,distance,336.97,m,altitude,45.799999999999955,m,speed,5.797,m/s,power,80,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903215,s,position_lat,464240288,semicircles,position_long,-919027451,semicircles,distance,343.69,m,altitude,46.0,m,speed,6.061,m/s,power,105,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903216,s,position_lat,464240974,semicircles,position_long,-919027435,semicircles,distance,350.07,m,altitude,46.200000000000045,m,speed,5.931,m/s,power,121,watts,cadence,68,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903217,s,position_lat,464241608,semicircles,position_long,-919027435,semicircles,distance,355.97,m,altitude,46.39999999999998,m,speed,5.753,m/s,power,93,watts,cadence,68,rpm,temperature,24,°C,,,,,,,,,,,,,
